time,phase,target_x,target_y,target_z,drone_x,drone_y,drone_z
5.819998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.526,6.090018,1156.627
5.839998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.564,6.102268,1156.604
5.859998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.601,6.114522,1156.581
5.879998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.639,6.126782,1156.558
5.899998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.677,6.139049,1156.535
5.919998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.714,6.151322,1156.511
5.939998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.752,6.163601,1156.488
5.959998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.789,6.175887,1156.465
5.979998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.827,6.18818,1156.442
5.999998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.865,6.20048,1156.419
6.019998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.902,6.212789,1156.396
6.039998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.94,6.225108,1156.372
6.059998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.977,6.237436,1156.349
6.079998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.015,6.249775,1156.326
6.099998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.052,6.262124,1156.303
6.119998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.09,6.274483,1156.28
6.139998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.128,6.286855,1156.256
6.159998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.165,6.299239,1156.233
6.179998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.203,6.311637,1156.21
6.199998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.24,6.324048,1156.187
6.219998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.278,6.336472,1156.163
6.239998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.316,6.34891,1156.14
6.259998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.353,6.361363,1156.117
6.279998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.391,6.373832,1156.093
6.299998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.428,6.386318,1156.07
6.319998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.466,6.398823,1156.047
6.339998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.504,6.411346,1156.023
6.359998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.541,6.423888,1156
6.379998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.579,6.436449,1155.977
6.399998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.616,6.449029,1155.953
6.419998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.654,6.461631,1155.93
6.439998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.691,6.474255,1155.907
6.459998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.729,6.486903,1155.883
6.479998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.766,6.499576,1155.86
6.499998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.804,6.512273,1155.837
6.519998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.841,6.524996,1155.814
6.539998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.879,6.537744,1155.791
6.559998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.916,6.550519,1155.767
6.579998,PAUSE_AT_START,1307.06,6.976,1155.06,1305.954,6.563321,1155.744
6.599998,TAU,1307.06,6.976,1155.06,1305.991,6.576151,1155.721
6.619998,TAU,1307.06,6.976,1155.06,1306.028,6.589012,1155.698
6.639997,TAU,1307.06,6.976,1155.06,1306.066,6.601904,1155.675
